Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
largest_2020,Transport,Multiple,440000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Large-scale transportation data from the year 2020. Specifics on variables and frequency are not detailed in the source.,Part of the massive pre-training corpus for scaling law experiments. 3,310,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
largest_2021,Transport,Multiple,1310000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Large-scale transportation data from the year 2021. Specifics on variables and frequency are not detailed in the source.,Part of the massive pre-training corpus for scaling law experiments. Contributes significantly to the total data volume. 3,311,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LenDB,Other,3,540,50 ms (1/20 Hz),"Los-Net, a seismic network",monster-monash/LenDB,"This dataset, the Large Earthquake Network Database (LenDB), contains seismograms recorded from multiple seismic detection networks around the globe. Each instance is a 3-channel time series (representing three orthogonal directions of ground motion) sampled at 20 Hz. The task is a binary classification to distinguish between signals caused by an earthquake and those caused by noise.5",This is a large-scale signal detection problem with over 1.2 million instances. The challenge is to robustly identify the characteristic signature of seismic P-waves and S-waves against a background of diverse seismic noise sources. The large volume of data is ideal for training highly sensitive detection models.,312,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libras,Motion,2,45,Uniform,timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=Libras,"This dataset consists of 360 instances of time series data representing hand movements in Brazilian Sign Language (Libras). Each instance has 45 time points, with two variables at each point representing the x and y coordinates of the hand's centroid.  The goal is to classify the hand movement into one of 15 categories. The data originates from videos of hand movements performed by four individuals in two sessions, totaling 24 instances per class. Each video is approximately 7 seconds long, from which 45 frames are uniformly sampled.","Dataset also available from the UCI Machine Learning Repository.  Suitable for tasks such as motion classification, trajectory visualization, and shape-based classification. The dataset is relatively small, making it suitable for educational purposes and prototyping algorithms.",313,7,22,Split into 3 records on 2025-08-04 17:49:06,"Multiple Datasets

The name `Libras` is ambiguous and refers to multiple distinct datasets. While some sources describe time series related to hand movements in Brazilian Sign Language (Libras), other sources describe network topologies or benchmark datasets for large language models.  Therefore, I have identified three separate datasets mistakenly grouped under the same name.",,,,,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Libra,Network Topology,Not applicable,Not applicable,Not applicable,github.io (specific repository within),(See Source 4 for individual dataset links),"This group encompasses network topology datasets designed for evaluating network verification tools like Libra.  It includes datasets such as INET (based on Sprint's backbone network), DCN (emulated data center topology), and DCN-G (a larger version of DCN).  These datasets provide information on routing prefixes, local routers, and next-hop routers.","Focused on scalability and used to verify network properties like connectivity and policy compliance. | Divided into four complexity groups. Examples include ruTREC (topic classification), ruSciFi (true/false questions), and ruGSM100 (math problems). | Gemini-identified sources: Source 4",313,1,22,Split into 3 records on 2025-08-04 17:49:06,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning2,Sensor,1,637,Not specified,"timeseriesclassification.com, cs.ucr.edu",Lightning2 Description,This dataset contains atmospheric data. The binary classification task is to distinguish between two types of lightning strikes.,Donated by D. Eads. It includes 60 instances for training and 61 for testing.,314,6,22,Auto-reconciled (1 unique source) on 2025-08-04 17:49:49,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Libra,Network Topology,Not applicable,Not applicable,Not applicable,github.io (specific repository within),(See Source 4 for individual dataset links),"This group encompasses network topology datasets designed for evaluating network verification tools like Libra.  It includes datasets such as INET (based on Sprint's backbone network), DCN (emulated data center topology), and DCN-G (a larger version of DCN).  These datasets provide information on routing prefixes, local routers, and next-hop routers.","Focused on scalability and used to verify network properties like connectivity and policy compliance. | Divided into four complexity groups. Examples include ruTREC (topic classification), ruSciFi (true/false questions), and ruGSM100 (math problems). | Gemini-identified sources: Source 4",313,1,22,Split into 3 records on 2025-08-04 17:49:06,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning7,Sensor,1,319,Not specified,"timeseriesclassification.com, cs.ucr.edu",Lightning7 Description,This dataset contains atmospheric data. The classification task is to distinguish between seven types of lightning strikes.,Donated by D. Eads. A 7-class problem with 70 training and 73 testing instances.,315,6,22,Auto-reconciled (1 unique source) on 2025-08-04 17:49:50,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
LION,Corporate,1,82,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",316,2,22,Auto-reconciled (1 unique source) on 2025-08-04 17:49:51,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
LiveFuelMoistureContent,Environmental Monitoring,7,365,Daily,MODIS Satellite Data / Globe-LFMC,Link,"Predicts the Live Fuel Moisture Content (LFMC), a critical factor in wildfire risk assessment, defined as the ratio of water mass to dry mass in vegetation.7 The input is one year of daily reflectance data (365 time points) from the MODIS satellite across 7 spectral bands. The target is the single LFMC value measured on the ground at the end of that year.",A classic TSER problem where the predictor (satellite spectral data) and target (ground-truth moisture) are from different modalities. The long sequence length (365) and high dimensionality (7) require a model to learn long-term seasonal patterns and their complex influence on vegetation health. An update to this dataset was noted in March 2021.5,317,1,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load_RTE.csv,Energy,2,17544,Hourly,ourownstory/neuralprophet-data,Link,Hourly power consumption data from the French utility RTE for the years 2017 and 2018.16,"Another high-frequency energy dataset used for general modeling examples in Neural Prophet, demonstrating robust performance on complex, seasonal data.16",318,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Smart Meters,Energy,1 (electricity consumption),"Minimum 288, Average ~29951, Maximum 39648 (per household)",30 minutes (half-hourly),UK Power Networks Low Carbon London project (via Kaggle/London Datastore),https://data.london.gov.uk/dataset/smartmeter-energy-consumption-data-in-london-households,"Half-hourly electricity consumption data for 5,567 London households between November 2011 and February 2014, collected as part of the Low Carbon London project.  Includes two tariff groups: ~1100 customers on Dynamic Time of Use (dToU) tariffs and ~4500 on standard flat-rate tariffs.  Raw data is approximately 10GB and contains around 167 million rows.","This represents the raw, disaggregated dataset as originally hosted on Kaggle and the London Datastore. It contains missing values. Different subsets, aggregations, and pre-processed versions of this data exist.",319,7,22,Split into 4 records on 2025-08-04 17:50:21,"Multiple Datasets. While all sources relate to smart meter data from London households gathered as part of the UK Power Networks Low Carbon London project, variations in the described data structure (number of variables, specific included data like weather or socio-demographic info), number of data points, and links to different repositories indicate the existence of multiple distinct datasets derived from the original project data.  Specifically, some sources refer to pre-processed or aggregated versions, subsets focusing on specific time periods or households, or versions with/without missing data handling.  The original Kaggle competition data seems to be the common ancestor, with other sources stemming from it through various transformations and aggregations.",,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,X,,,X,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,
london_smart_meters,Energy,"1 (Univariate, household consumption)","Minimum 288, Maximum 39648 (per household)",30 minutes,Monash Time Series Forecasting Repository (derived from the original London Smart Meters dataset),https://zenodo.org/record/4656091 (example link for a version without missing values),Processed versions of the London Smart Meters dataset specifically formatted for time series forecasting tasks. Includes versions with and without missing value imputation.  Covers 5560 (or 5567 - slight discrepancy in source reporting) London households.,"This represents several closely related datasets derived from the original London Smart Meters data but modified and hosted by Monash University. Different versions exist with various preprocessing steps applied, particularly regarding missing values.",319,5,22,Split into 4 records on 2025-08-04 17:50:21,,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,
Smart meters in London,Energy,"Multiple (Energy consumption, ACORN group, weather data)","Dependent on the specific data file, originating from the Low Carbon London dataset timeframe (Nov 2011 - Feb 2014).","30 minutes for energy data, varying for weather",Kaggle (derived and enhanced from the original London Smart Meters dataset),https://www.kaggle.com/datasets/jeanmidev/smart-meters-in-london,A restructured version of the original London Smart Meters dataset with added weather data (from DarkSky API) and ACORN group classifications for each household.  Data is reorganized by household and ACORN group.,"This dataset includes additional contextual information alongside the energy consumption data, allowing for analysis related to socio-demographic and weather influences.",319,1,22,Split into 4 records on 2025-08-04 17:50:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Smart Meter Consumption - LV Feeder,Energy,"Multiple (Active and Reactive Energy Import/Export, Meter Count)",Ongoing (data from 2024 onwards),30 minutes,UK Power Networks Open Data Portal,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-smart-meter-consumption-lv-feeder/,"Aggregated half-hourly import and export energy consumption data at the Low Voltage (LV) feeder level, including a count of contributing smart meters. Initially covers 40,000 meters in the Eastern Power Networks (EPN) region, with planned expansion to all UK Power Networks regions and full import/export data.","Represents a different dataset from the original Low Carbon London project data. It offers a more recent and operational view of energy consumption, aggregated at the feeder level. | Gemini-identified sources: Smart Meter Consumption - LV Feeder[8, 9]",319,1,22,Split into 4 records on 2025-08-04 17:50:21,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london_smart_meters_with_missing,Energy & Power,"Univariate (Energy Consumption). 5,560 series.",Nov 2011 - Feb 2014 28,30 minutes 29,Kaggle / London Data Store,https://www.kaggle.com/jeanmidev/smart-meters-in-london,"Energy consumption readings for 5,567 London households from the Low Carbon London project. The data is known to contain missing values.28","The explicit inclusion of a dataset ""with missing"" values is a deliberate choice to build robustness against data imperfections, a common real-world problem.",320,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
london_smart_meters_with_missing_values,Energy,1 (Univariate),288 - 39648,Half Hourly,Zenodo,Zenodo Record,"Contains half-hourly electricity consumption data from 5,560 London households. This version contains the original missing values.",Contains missing values.,321,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:51:15,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
Smart Meter Consumption - LV Feeder,Energy,"Multiple (Active and Reactive Energy Import/Export, Meter Count)",Ongoing (data from 2024 onwards),30 minutes,UK Power Networks Open Data Portal,https://ukpowernetworks.opendatasoft.com/explore/dataset/ukpn-smart-meter-consumption-lv-feeder/,"Aggregated half-hourly import and export energy consumption data at the Low Voltage (LV) feeder level, including a count of contributing smart meters. Initially covers 40,000 meters in the Eastern Power Networks (EPN) region, with planned expansion to all UK Power Networks regions and full import/export data.","Represents a different dataset from the original Low Carbon London project data. It offers a more recent and operational view of energy consumption, aggregated at the feeder level. | Gemini-identified sources: Smart Meter Consumption - LV Feeder[8, 9]",319,1,22,Split into 4 records on 2025-08-04 17:50:21,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
london_smart_meters_without_missing_values,Energy,1 (Univariate),288 - 39648,Half Hourly,Zenodo,Zenodo Record,"Contains half-hourly electricity consumption data from 5,560 London households. Missing values have been imputed.",Missing values imputed. Part of the common TSF-32 subset (as 'london_smart_meters').,322,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:51:15,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
Loop-Seattle,Transportation,"Varies (detectors, travel times)",~6 months,20 seconds (raw detector data),US Department of Transportation,Link,"Contains raw 20-second data from traffic detectors on I-5 in Seattle, alongside incident records, weather data, and arterial travel times.",A very high-frequency dataset providing a granular view of urban freeway dynamics.17,323,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:51:16,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,
